slot,rate [ct./kWh],energy [kWh],seller
2021-10-06T00:00:00,30.0,9223372036854775807,Market Maker
2021-10-06T00:15:00,30.0,9223372036854775807,Market Maker
2021-10-06T00:30:00,30.0,9223372036854775807,Market Maker
2021-10-06T00:45:00,30.0,9223372036854775807,Market Maker
2021-10-06T01:00:00,30.0,9223372036854775807,Market Maker
2021-10-06T01:15:00,30.0,9223372036854775807,Market Maker
2021-10-06T01:30:00,30.0,9223372036854775807,Market Maker
2021-10-06T01:45:00,30.0,9223372036854775807,Market Maker
2021-10-06T02:00:00,30.0,9223372036854775807,Market Maker
2021-10-06T02:15:00,30.0,9223372036854775807,Market Maker
2021-10-06T02:30:00,30.0,9223372036854775807,Market Maker
2021-10-06T02:45:00,30.0,9223372036854775807,Market Maker
2021-10-06T03:00:00,30.0,9223372036854775807,Market Maker
2021-10-06T03:15:00,30.0,9223372036854775807,Market Maker
2021-10-06T03:30:00,30.0,9223372036854775807,Market Maker
2021-10-06T03:45:00,30.0,9223372036854775807,Market Maker
2021-10-06T04:00:00,30.0,9223372036854775807,Market Maker
2021-10-06T04:15:00,30.0,9223372036854775807,Market Maker
2021-10-06T04:30:00,30.0,9223372036854775807,Market Maker
2021-10-06T04:45:00,30.0,9223372036854775807,Market Maker
2021-10-06T05:00:00,30.0,9223372036854775807,Market Maker
2021-10-06T05:15:00,30.0,9223372036854775807,Market Maker
2021-10-06T05:15:00,30.0,0.003125,PV
2021-10-06T05:15:00,30.0,0.003125,PV
2021-10-06T05:16:00,27.857142848,0.003125,PV
2021-10-06T05:17:00,25.714285727999997,0.003125,PV
2021-10-06T05:18:00,23.571428576,0.003125,PV
2021-10-06T05:19:00,21.428571423999998,0.003125,PV
2021-10-06T05:20:00,19.285714272,0.003125,PV
2021-10-06T05:21:00,17.142857151999998,0.003125,PV
2021-10-06T05:22:00,15.0,0.003125,PV
2021-10-06T05:23:00,12.857142848,0.003125,PV
2021-10-06T05:24:00,10.714285727999998,0.003125,PV
2021-10-06T05:25:00,8.571428575999999,0.003125,PV
2021-10-06T05:26:00,6.428571424,0.003125,PV
2021-10-06T05:27:00,4.285714272,0.003125,PV
2021-10-06T05:28:00,2.142857152,0.003125,PV
2021-10-06T05:29:00,0.0,0.003125,PV
2021-10-06T05:30:00,30.0,9223372036854775807,Market Maker
2021-10-06T05:30:00,30.0,0.003125,PV
2021-10-06T05:30:00,30.0,0.003125,PV
2021-10-06T05:31:00,27.857142848,0.003125,PV
2021-10-06T05:32:00,25.714285727999997,0.003125,PV
2021-10-06T05:33:00,23.571428576,0.003125,PV
2021-10-06T05:34:00,21.428571423999998,0.003125,PV
2021-10-06T05:35:00,19.285714272,0.003125,PV
2021-10-06T05:36:00,17.142857151999998,0.003125,PV
2021-10-06T05:37:00,15.0,0.003125,PV
2021-10-06T05:38:00,12.857142848,0.003125,PV
2021-10-06T05:39:00,10.714285727999998,0.003125,PV
2021-10-06T05:40:00,8.571428575999999,0.003125,PV
2021-10-06T05:41:00,6.428571424,0.003125,PV
2021-10-06T05:42:00,4.285714272,0.003125,PV
2021-10-06T05:43:00,2.142857152,0.003125,PV
2021-10-06T05:44:00,0.0,0.003125,PV
2021-10-06T05:45:00,30.0,9223372036854775807,Market Maker
2021-10-06T05:45:00,30.0,0.003125,PV
2021-10-06T05:45:00,30.0,0.003125,PV
2021-10-06T05:46:00,27.857142848,0.003125,PV
2021-10-06T05:47:00,25.714285727999997,0.003125,PV
2021-10-06T05:48:00,23.571428576,0.003125,PV
2021-10-06T05:49:00,21.428571423999998,0.003125,PV
2021-10-06T05:50:00,19.285714272,0.003125,PV
2021-10-06T05:51:00,17.142857151999998,0.003125,PV
2021-10-06T05:52:00,15.0,0.003125,PV
2021-10-06T05:53:00,12.857142848,0.003125,PV
2021-10-06T05:54:00,10.714285727999998,0.003125,PV
2021-10-06T05:55:00,8.571428575999999,0.003125,PV
2021-10-06T05:56:00,6.428571424,0.003125,PV
2021-10-06T05:57:00,4.285714272,0.003125,PV
2021-10-06T05:58:00,2.142857152,0.003125,PV
2021-10-06T05:59:00,0.0,0.003125,PV
2021-10-06T06:00:00,30.0,9223372036854775807,Market Maker
2021-10-06T06:00:00,30.0,0.003125,PV
2021-10-06T06:00:00,30.0,0.003125,PV
2021-10-06T06:01:00,27.857142848,0.003125,PV
2021-10-06T06:02:00,25.714285727999997,0.003125,PV
2021-10-06T06:03:00,23.571428576,0.003125,PV
2021-10-06T06:04:00,21.428571423999998,0.003125,PV
2021-10-06T06:05:00,19.285714272,0.003125,PV
2021-10-06T06:06:00,17.142857151999998,0.003125,PV
2021-10-06T06:07:00,15.0,0.003125,PV
2021-10-06T06:08:00,12.857142848,0.003125,PV
2021-10-06T06:09:00,10.714285727999998,0.003125,PV
2021-10-06T06:10:00,8.571428575999999,0.003125,PV
2021-10-06T06:11:00,6.428571424,0.003125,PV
2021-10-06T06:12:00,4.285714272,0.003125,PV
2021-10-06T06:13:00,2.142857152,0.003125,PV
2021-10-06T06:14:00,0.0,0.003125,PV
2021-10-06T06:15:00,30.0,9223372036854775807,Market Maker
2021-10-06T06:15:00,30.0,0.009375,PV
2021-10-06T06:15:00,30.0,0.009375,PV
2021-10-06T06:16:00,27.857142858666666,0.009375,PV
2021-10-06T06:17:00,25.714285717333333,0.009375,PV
2021-10-06T06:18:00,23.571428576000002,0.009375,PV
2021-10-06T06:19:00,21.428571424,0.009375,PV
2021-10-06T06:20:00,19.285714282666667,0.009375,PV
2021-10-06T06:21:00,17.142857141333334,0.009375,PV
2021-10-06T06:22:00,15.0,0.009375,PV
2021-10-06T06:23:00,12.857142858666666,0.009375,PV
2021-10-06T06:24:00,10.714285717333334,0.009375,PV
2021-10-06T06:25:00,8.571428576,0.009375,PV
2021-10-06T06:26:00,6.428571424,0.009375,PV
2021-10-06T06:27:00,4.285714282666667,0.009375,PV
2021-10-06T06:28:00,2.1428571413333337,0.009375,PV
2021-10-06T06:29:00,0.0,0.009375,PV
2021-10-06T06:30:00,30.0,9223372036854775807,Market Maker
2021-10-06T06:30:00,30.0,0.009375,PV
2021-10-06T06:30:00,30.0,0.009375,PV
2021-10-06T06:31:00,27.857142858666666,0.009375,PV
2021-10-06T06:32:00,25.714285717333333,0.009375,PV
2021-10-06T06:33:00,23.571428576000002,0.009375,PV
2021-10-06T06:34:00,21.428571424,0.009375,PV
2021-10-06T06:35:00,19.285714282666667,0.009375,PV
2021-10-06T06:36:00,17.142857141333334,0.009375,PV
2021-10-06T06:37:00,15.0,0.009375,PV
2021-10-06T06:38:00,12.857142858666666,0.009375,PV
2021-10-06T06:39:00,10.714285717333334,0.009375,PV
2021-10-06T06:40:00,8.571428576,0.009375,PV
2021-10-06T06:41:00,6.428571424,0.009375,PV
2021-10-06T06:42:00,4.285714282666667,0.009375,PV
2021-10-06T06:43:00,2.1428571413333337,0.009375,PV
2021-10-06T06:44:00,0.0,0.009375,PV
2021-10-06T06:45:00,30.0,0.009375,PV
2021-10-06T06:45:00,30.0,9223372036854775807,Market Maker
2021-10-06T06:45:00,30.0,0.009375,PV
2021-10-06T06:46:00,27.857142858666666,0.009375,PV
2021-10-06T06:47:00,25.714285717333333,0.009375,PV
2021-10-06T06:48:00,23.571428576000002,0.009375,PV
2021-10-06T06:49:00,21.428571424,0.009375,PV
2021-10-06T06:50:00,19.285714282666667,0.009375,PV
2021-10-06T06:51:00,17.142857141333334,0.009375,PV
2021-10-06T06:52:00,15.0,0.009375,PV
2021-10-06T06:53:00,12.857142858666666,0.009375,PV
2021-10-06T06:54:00,10.714285717333334,0.009375,PV
2021-10-06T06:55:00,8.571428576,0.009375,PV
2021-10-06T06:56:00,6.428571424,0.009375,PV
2021-10-06T06:57:00,4.285714282666667,0.009375,PV
2021-10-06T06:58:00,2.1428571413333337,0.009375,PV
2021-10-06T06:59:00,0.0,0.009375,PV
2021-10-06T07:00:00,30.0,9223372036854775807,Market Maker
2021-10-06T07:00:00,30.0,0.009375,PV
2021-10-06T07:00:00,30.0,0.009375,PV
2021-10-06T07:01:00,27.857142858666666,0.009375,PV
2021-10-06T07:02:00,25.714285717333333,0.009375,PV
2021-10-06T07:03:00,23.571428576000002,0.009375,PV
2021-10-06T07:04:00,21.428571424,0.009375,PV
2021-10-06T07:05:00,19.285714282666667,0.009375,PV
2021-10-06T07:06:00,17.142857141333334,0.009375,PV
2021-10-06T07:07:00,15.0,0.009375,PV
2021-10-06T07:08:00,12.857142858666666,0.009375,PV
2021-10-06T07:09:00,10.714285717333334,0.009375,PV
2021-10-06T07:10:00,8.571428576,0.009375,PV
2021-10-06T07:11:00,6.428571424,0.009375,PV
2021-10-06T07:12:00,4.285714282666667,0.009375,PV
2021-10-06T07:13:00,2.1428571413333337,0.009375,PV
2021-10-06T07:14:00,0.0,0.009375,PV
2021-10-06T07:15:00,30.0,0.01875,PV
2021-10-06T07:15:00,30.0,9223372036854775807,Market Maker
2021-10-06T07:15:00,30.0,0.01875,PV
2021-10-06T07:16:00,27.857142858666666,0.01875,PV
2021-10-06T07:17:00,25.714285712,0.01875,PV
2021-10-06T07:18:00,23.57142857066667,0.01875,PV
2021-10-06T07:19:00,21.428571429333335,0.01875,PV
2021-10-06T07:20:00,19.285714288,0.01875,PV
2021-10-06T07:21:00,17.142857141333334,0.01875,PV
2021-10-06T07:22:00,15.0,0.01875,PV
2021-10-06T07:23:00,12.857142858666666,0.01875,PV
2021-10-06T07:24:00,10.714285712,0.01875,PV
2021-10-06T07:25:00,8.571428570666667,0.01875,PV
2021-10-06T07:26:00,6.428571429333333,0.01875,PV
2021-10-06T07:27:00,4.285714288,0.01875,PV
2021-10-06T07:28:00,2.1428571413333337,0.01875,PV
2021-10-06T07:29:00,0.0,0.01875,PV
2021-10-06T07:30:00,30.0,9223372036854775807,Market Maker
2021-10-06T07:30:00,30.0,0.01875,PV
2021-10-06T07:30:00,30.0,0.01875,PV
2021-10-06T07:31:00,27.857142858666666,0.01875,PV
2021-10-06T07:32:00,25.714285712,0.01875,PV
2021-10-06T07:33:00,23.57142857066667,0.01875,PV
2021-10-06T07:34:00,21.428571429333335,0.01875,PV
2021-10-06T07:35:00,19.285714288,0.01875,PV
2021-10-06T07:36:00,17.142857141333334,0.01875,PV
2021-10-06T07:37:00,15.0,0.01875,PV
2021-10-06T07:38:00,12.857142858666666,0.01875,PV
2021-10-06T07:39:00,10.714285712,0.01875,PV
2021-10-06T07:40:00,8.571428570666667,0.01875,PV
2021-10-06T07:41:00,6.428571429333333,0.01875,PV
2021-10-06T07:42:00,4.285714288,0.01875,PV
2021-10-06T07:43:00,2.1428571413333337,0.01875,PV
2021-10-06T07:44:00,0.0,0.01875,PV
2021-10-06T07:45:00,30.0,9223372036854775807,Market Maker
2021-10-06T07:45:00,30.0,0.01875,PV
2021-10-06T07:45:00,30.0,0.01875,PV
2021-10-06T07:46:00,27.857142858666666,0.01875,PV
2021-10-06T07:47:00,25.714285712,0.01875,PV
2021-10-06T07:48:00,23.57142857066667,0.01875,PV
2021-10-06T07:49:00,21.428571429333335,0.01875,PV
2021-10-06T07:50:00,19.285714288,0.01875,PV
2021-10-06T07:51:00,17.142857141333334,0.01875,PV
2021-10-06T07:52:00,15.0,0.01875,PV
2021-10-06T07:53:00,12.857142858666666,0.01875,PV
2021-10-06T07:54:00,10.714285712,0.01875,PV
2021-10-06T07:55:00,8.571428570666667,0.01875,PV
2021-10-06T07:56:00,6.428571429333333,0.01875,PV
2021-10-06T07:57:00,4.285714288,0.01875,PV
2021-10-06T07:58:00,2.1428571413333337,0.01875,PV
2021-10-06T07:59:00,0.0,0.01875,PV
2021-10-06T08:00:00,30.0,0.01875,PV
2021-10-06T08:00:00,30.0,9223372036854775807,Market Maker
2021-10-06T08:00:00,30.0,0.01875,PV
2021-10-06T08:01:00,27.857142858666666,0.01875,PV
2021-10-06T08:02:00,25.714285712,0.01875,PV
2021-10-06T08:03:00,23.57142857066667,0.01875,PV
2021-10-06T08:04:00,21.428571429333335,0.01875,PV
2021-10-06T08:05:00,19.285714288,0.01875,PV
2021-10-06T08:06:00,17.142857141333334,0.01875,PV
2021-10-06T08:07:00,15.0,0.01875,PV
2021-10-06T08:08:00,12.857142858666666,0.01875,PV
2021-10-06T08:09:00,10.714285712,0.01875,PV
2021-10-06T08:10:00,8.571428570666667,0.01875,PV
2021-10-06T08:11:00,6.428571429333333,0.01875,PV
2021-10-06T08:12:00,4.285714288,0.01875,PV
2021-10-06T08:13:00,2.1428571413333337,0.01875,PV
2021-10-06T08:14:00,0.0,0.01875,PV
2021-10-06T08:15:00,30.0,0.03125,PV
2021-10-06T08:15:00,30.0,9223372036854775807,Market Maker
2021-10-06T08:15:00,30.0,0.03125,PV
2021-10-06T08:16:00,27.8571428576,0.03125,PV
2021-10-06T08:17:00,25.7142857152,0.03125,PV
2021-10-06T08:18:00,23.5714285728,0.03125,PV
2021-10-06T08:19:00,21.4285714272,0.03125,PV
2021-10-06T08:20:00,19.2857142848,0.03125,PV
2021-10-06T08:21:00,17.1428571424,0.03125,PV
2021-10-06T08:22:00,15.0,0.03125,PV
2021-10-06T08:23:00,12.8571428576,0.03125,PV
2021-10-06T08:24:00,10.7142857152,0.03125,PV
2021-10-06T08:25:00,8.5714285728,0.03125,PV
2021-10-06T08:26:00,6.4285714272,0.03125,PV
2021-10-06T08:27:00,4.2857142848,0.03125,PV
2021-10-06T08:28:00,2.1428571424,0.03125,PV
2021-10-06T08:29:00,0.0,0.03125,PV
2021-10-06T08:30:00,30.0,9223372036854775807,Market Maker
2021-10-06T08:30:00,30.0,0.03125,PV
2021-10-06T08:30:00,30.0,0.03125,PV
2021-10-06T08:31:00,27.8571428576,0.03125,PV
2021-10-06T08:32:00,25.7142857152,0.03125,PV
2021-10-06T08:33:00,23.5714285728,0.03125,PV
2021-10-06T08:34:00,21.4285714272,0.03125,PV
2021-10-06T08:35:00,19.2857142848,0.03125,PV
2021-10-06T08:36:00,17.1428571424,0.03125,PV
2021-10-06T08:37:00,15.0,0.03125,PV
2021-10-06T08:38:00,12.8571428576,0.03125,PV
2021-10-06T08:39:00,10.7142857152,0.03125,PV
2021-10-06T08:40:00,8.5714285728,0.03125,PV
2021-10-06T08:41:00,6.4285714272,0.03125,PV
2021-10-06T08:42:00,4.2857142848,0.03125,PV
2021-10-06T08:43:00,2.1428571424,0.03125,PV
2021-10-06T08:44:00,0.0,0.03125,PV
2021-10-06T08:45:00,30.0,0.028125,PV
2021-10-06T08:45:00,30.0,9223372036854775807,Market Maker
2021-10-06T08:45:00,30.0,0.028125,PV
2021-10-06T08:46:00,27.857142858666663,0.028125,PV
2021-10-06T08:47:00,25.714285713777777,0.028125,PV
2021-10-06T08:48:00,23.571428572444443,0.028125,PV
2021-10-06T08:49:00,21.428571427555557,0.028125,PV
2021-10-06T08:50:00,19.28571428622222,0.028125,PV
2021-10-06T08:51:00,17.142857141333334,0.028125,PV
2021-10-06T08:52:00,15.0,0.028125,PV
2021-10-06T08:53:00,12.857142858666666,0.028125,PV
2021-10-06T08:54:00,10.714285713777778,0.028125,PV
2021-10-06T08:55:00,8.571428572444445,0.028125,PV
2021-10-06T08:56:00,6.428571427555555,0.028125,PV
2021-10-06T08:57:00,4.285714286222222,0.028125,PV
2021-10-06T08:58:00,2.1428571413333333,0.028125,PV
2021-10-06T08:59:00,0.0,0.028125,PV
2021-10-06T09:00:00,30.0,0.03125,PV
2021-10-06T09:00:00,30.0,9223372036854775807,Market Maker
2021-10-06T09:00:00,30.0,0.03125,PV
2021-10-06T09:01:00,27.8571428576,0.03125,PV
2021-10-06T09:02:00,25.7142857152,0.03125,PV
2021-10-06T09:03:00,23.5714285728,0.03125,PV
2021-10-06T09:04:00,21.4285714272,0.03125,PV
2021-10-06T09:05:00,19.2857142848,0.03125,PV
2021-10-06T09:06:00,17.1428571424,0.03125,PV
2021-10-06T09:07:00,15.0,0.03125,PV
2021-10-06T09:08:00,12.8571428576,0.03125,PV
2021-10-06T09:09:00,10.7142857152,0.03125,PV
2021-10-06T09:10:00,8.5714285728,0.03125,PV
2021-10-06T09:11:00,6.4285714272,0.03125,PV
2021-10-06T09:12:00,4.2857142848,0.03125,PV
2021-10-06T09:13:00,2.1428571424,0.03125,PV
2021-10-06T09:14:00,0.0,0.03125,PV
2021-10-06T09:15:00,30.0,0.040625,PV
2021-10-06T09:15:00,30.0,9223372036854775807,Market Maker
2021-10-06T09:15:00,30.0,0.040625,PV
2021-10-06T09:16:00,27.857142857846153,0.040625,PV
2021-10-06T09:17:00,25.714285713230765,0.040625,PV
2021-10-06T09:18:00,23.571428571076922,0.040625,PV
2021-10-06T09:19:00,21.428571428923075,0.040625,PV
2021-10-06T09:20:00,19.285714286769227,0.040625,PV
2021-10-06T09:21:00,17.142857142153847,0.040625,PV
2021-10-06T09:22:00,15.0,0.040625,PV
2021-10-06T09:23:00,12.857142857846153,0.040625,PV
2021-10-06T09:24:00,10.714285713230769,0.040625,PV
2021-10-06T09:25:00,8.571428571076924,0.040625,PV
2021-10-06T09:26:00,6.428571428923076,0.040625,PV
2021-10-06T09:27:00,4.285714286769231,0.040625,PV
2021-10-06T09:28:00,2.1428571421538463,0.040625,PV
2021-10-06T09:29:00,0.0,0.040625,PV
2021-10-06T09:30:00,30.0,9223372036854775807,Market Maker
2021-10-06T09:30:00,29.999999999999996,0.034375,PV
2021-10-06T09:30:00,29.999999999999996,0.034375,PV
2021-10-06T09:31:00,27.857142856727272,0.034375,PV
2021-10-06T09:32:00,25.714285713454544,0.034375,PV
2021-10-06T09:33:00,23.57142857018182,0.034375,PV
2021-10-06T09:34:00,21.428571429818177,0.034375,PV
2021-10-06T09:35:00,19.285714286545453,0.034375,PV
2021-10-06T09:36:00,17.142857143272725,0.034375,PV
2021-10-06T09:37:00,14.999999999999998,0.034375,PV
2021-10-06T09:38:00,12.857142856727272,0.034375,PV
2021-10-06T09:39:00,10.714285713454544,0.034375,PV
2021-10-06T09:40:00,8.571428570181817,0.034375,PV
2021-10-06T09:41:00,6.428571429818182,0.034375,PV
2021-10-06T09:42:00,4.2857142865454545,0.034375,PV
2021-10-06T09:43:00,2.1428571432727272,0.034375,PV
2021-10-06T09:44:00,0.0,0.034375,PV
2021-10-06T09:45:00,30.0,9223372036854775807,Market Maker
2021-10-06T09:45:00,30.0,0.040625,PV
